celltype,Lineage_level,FN1,SMA,EpCAM,CD31,FABP4,CD45,CD3,CD20,CD68,CD56,CD11c,CD15,CD4,CD8
fibroblast,1_0_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vascular_smooth_muscle,1_0_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
epithelial,1_0_3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
endothelial,1_0_4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
adipose,1_0_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
immune,1_0_6,0,0,0,0,0,1,,,,,,,,
tcell,2_6_7,0,0,0,0,0,,1,0,0,0,0,0,,
bcell,2_6_8,0,0,0,0,0,,0,1,0,0,0,0,0,0
macrophage_monocyte,2_6_9,0,0,0,0,0,,0,0,1,0,0,0,0,0
nk,2_6_10,0,0,0,0,0,,0,0,0,1,0,0,0,0
dendritic,2_6_11,0,0,0,0,0,,0,0,0,0,1,0,0,0
neutrophil,2_6_12,0,0,0,0,0,,0,0,0,0,0,1,,
cd4_tcell,3_7_13,0,0,0,0,0,,,0,0,0,0,,1,0
cd8_tcell,3_7_14,0,0,0,0,0,,,0,0,0,0,,0,1
